id,delta_real,delta_pred,DrZ_real,DrZ_pred,delta_real,delta_pred,DrZ_real,DrZ_pred,delta_real,delta_pred,DrZ_real,DrZ_pred,delta_real,delta_pred,DrZ_real,DrZ_pred,delta_real,delta_pred,DrZ_real,DrZ_pred,delta_real,delta_pred,DrZ_real,DrZ_pred,delta_real,delta_pred,DrZ_real,DrZ_pred,None,None
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
44,-0.20999999344348907,-0.07999999821186066,0.7200000286102295,0.949999988079071,-0.20999999344348907,-0.10999999940395355,0.7200000286102295,1.0099999904632568,-0.20999999344348907,-0.20999999344348907,0.7200000286102295,1.0099999904632568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.05000000074505806,0.07999999821186066,0.7699999809265137,0.6399999856948853,0.05000000074505806,-0.05000000074505806,0.7699999809265137,0.6100000143051147,0.05000000074505806,0.05000000074505806,0.7699999809265137,0.5099999904632568,0.05000000074505806,0.05000000074505806,0.7699999809265137,0.5099999904632568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,-0.07999999821186066,0.05999999865889549,0.6899999976158142,0.8600000143051147,-0.07999999821186066,0.05999999865889549,0.6899999976158142,0.7200000286102295,-0.07999999821186066,-0.07999999821186066,0.6899999976158142,0.8199999928474426,-0.07999999821186066,-0.07999999821186066,0.6899999976158142,0.8199999928474426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.009999999776482582,-0.009999999776482582,0.7099999785423279,0.75,0.009999999776482582,-0.05000000074505806,0.7099999785423279,0.7599999904632568,0.009999999776482582,0.009999999776482582,0.7099999785423279,0.6200000047683716,0.009999999776482582,0.009999999776482582,0.7099999785423279,0.6200000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.05999999865889549,0.03999999910593033,0.7699999809265137,0.6899999976158142,0.05999999865889549,-0.05000000074505806,0.7699999809265137,0.6600000262260437,0.05999999865889549,0.05999999865889549,0.7699999809265137,0.7200000286102295,0.05999999865889549,0.05999999865889549,0.7699999809265137,0.7200000286102295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,-0.20000000298023224,0.05000000074505806,0.5699999928474426,0.8199999928474426,-0.20000000298023224,-0.019999999552965164,0.5699999928474426,0.7300000190734863,-0.20000000298023224,-0.25,0.5699999928474426,0.8399999737739563,-0.20000000298023224,-0.20000000298023224,0.5699999928474426,0.8399999737739563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,-0.15000000596046448,0.07000000029802322,0.4300000071525574,0.6200000047683716,-0.15000000596046448,0.2800000011920929,0.4300000071525574,0.5600000023841858,-0.15000000596046448,-0.18000000715255737,0.4300000071525574,0.3199999928474426,-0.15000000596046448,-0.15000000596046448,0.4300000071525574,0.3799999952316284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.23999999463558197,-0.019999999552965164,0.6700000166893005,0.5,0.23999999463558197,0.15000000596046448,0.6700000166893005,0.699999988079071,0.23999999463558197,0.18000000715255737,0.6700000166893005,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.6700000166893005,0.2800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,-0.14000000059604645,0.019999999552965164,0.5299999713897705,0.6499999761581421,-0.14000000059604645,0.07000000029802322,0.5299999713897705,0.8199999928474426,-0.14000000059604645,-0.15000000596046448,0.5299999713897705,0.8500000238418579,-0.14000000059604645,-0.14000000059604645,0.5299999713897705,0.9100000262260437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,-0.05000000074505806,0.03999999910593033,0.4699999988079071,0.5400000214576721,-0.05000000074505806,-0.3100000023841858,0.4699999988079071,0.6000000238418579,-0.05000000074505806,-0.10999999940395355,0.4699999988079071,0.3799999952316284,-0.05000000074505806,-0.05000000074505806,0.4699999988079071,0.3799999952316284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,-0.05000000074505806,0.009999999776482582,0.41999998688697815,0.5099999904632568,-0.05000000074505806,-0.18000000715255737,0.41999998688697815,0.17000000178813934,-0.05000000074505806,0.05999999865889549,0.41999998688697815,0.36000001430511475,-0.05000000074505806,-0.05000000074505806,0.41999998688697815,0.41999998688697815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.3499999940395355,0.009999999776482582,0.7799999713897705,0.4300000071525574,0.3499999940395355,0.009999999776482582,0.7799999713897705,0.23999999463558197,0.3499999940395355,-0.0,0.7799999713897705,0.47999998927116394,0.3499999940395355,0.3499999940395355,0.7799999713897705,0.3700000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.1599999964237213,0.07000000029802322,0.9300000071525574,0.7900000214576721,0.1599999964237213,0.07999999821186066,0.9300000071525574,0.7900000214576721,0.1599999964237213,-0.009999999776482582,0.9300000071525574,0.7699999809265137,0.1599999964237213,0.1599999964237213,0.9300000071525574,1.1299999952316284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.10000000149011612,-0.019999999552965164,1.0299999713897705,1.0,0.10000000149011612,0.18000000715255737,1.0299999713897705,1.0099999904632568,0.10000000149011612,0.11999999731779099,1.0299999713897705,0.9300000071525574,0.10000000149011612,0.10000000149011612,1.0299999713897705,1.090000033378601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,-0.28999999165534973,0.03999999910593033,0.7400000095367432,1.0099999904632568,-0.28999999165534973,0.05000000074505806,0.7400000095367432,1.2100000381469727,-0.28999999165534973,-0.05000000074505806,0.7400000095367432,1.149999976158142,-0.28999999165534973,-0.28999999165534973,0.7400000095367432,1.1299999952316284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,-0.18000000715255737,0.07000000029802322,0.5600000023841858,0.7799999713897705,-0.18000000715255737,0.2800000011920929,0.5600000023841858,0.7900000214576721,-0.18000000715255737,-0.019999999552965164,0.5600000023841858,0.6899999976158142,-0.18000000715255737,-0.18000000715255737,0.5600000023841858,0.44999998807907104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,-0.019999999552965164,-0.019999999552965164,0.5400000214576721,0.6200000047683716,-0.019999999552965164,0.009999999776482582,0.5400000214576721,0.8299999833106995,-0.019999999552965164,0.009999999776482582,0.5400000214576721,0.5400000214576721,-0.019999999552965164,-0.019999999552965164,0.5400000214576721,0.3700000047683716,-0.019999999552965164,-0.019999999552965164,0.5400000214576721,0.3700000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.12999999523162842,0.05000000074505806,0.6700000166893005,0.5199999809265137,0.12999999523162842,0.09000000357627869,0.6700000166893005,0.550000011920929,0.12999999523162842,0.20999999344348907,0.6700000166893005,0.550000011920929,0.12999999523162842,0.12999999523162842,0.6700000166893005,0.5299999713897705,0.12999999523162842,0.12999999523162842,0.6700000166893005,0.5299999713897705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.3700000047683716,0.029999999329447746,1.0399999618530273,0.7200000286102295,0.3700000047683716,0.11999999731779099,1.0399999618530273,0.7599999904632568,0.3700000047683716,0.11999999731779099,1.0399999618530273,0.8799999952316284,0.3700000047683716,0.3700000047683716,1.0399999618530273,0.800000011920929,0.3700000047683716,0.3700000047683716,1.0399999618530273,0.800000011920929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.05999999865889549,-0.07999999821186066,1.100000023841858,1.0800000429153442,0.05999999865889549,-0.07999999821186066,1.100000023841858,1.1699999570846558,0.05999999865889549,0.09000000357627869,1.100000023841858,1.159999966621399,0.05999999865889549,0.05999999865889549,1.100000023841858,1.409999966621399,0.05999999865889549,0.05999999865889549,1.100000023841858,1.409999966621399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.11999999731779099,0.11999999731779099,1.2300000190734863,1.0199999809265137,0.11999999731779099,-0.10999999940395355,1.2300000190734863,1.0199999809265137,0.11999999731779099,-0.28999999165534973,1.2300000190734863,1.190000057220459,0.11999999731779099,-0.019999999552965164,1.2300000190734863,1.1699999570846558,0.11999999731779099,0.11999999731779099,1.2300000190734863,1.1699999570846558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.1899999976158142,0.03999999910593033,1.409999966621399,1.350000023841858,0.1899999976158142,-0.09000000357627869,1.409999966621399,1.1100000143051147,0.1899999976158142,-0.18000000715255737,1.409999966621399,0.9399999976158142,0.1899999976158142,-0.009999999776482582,1.409999966621399,1.2100000381469727,0.1899999976158142,0.1899999976158142,1.409999966621399,1.350000023841858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,-0.05999999865889549,-0.019999999552965164,1.3600000143051147,1.4600000381469727,-0.05999999865889549,0.009999999776482582,1.3600000143051147,1.3200000524520874,-0.05999999865889549,-0.05000000074505806,1.3600000143051147,1.2300000190734863,-0.05999999865889549,-0.2199999988079071,1.3600000143051147,1.409999966621399,-0.05999999865889549,-0.05999999865889549,1.3600000143051147,1.600000023841858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
