pd_index,date_f1,CNUM,LNUM_f1,SI_f1,S_f1,MN_f1,P_f1,CU_f1,NI_f1,CR_f1,MO_f1,TI_f1,HM_Temp_f1,ProbeSi_f1,Time_f1,Timestamp_f1,Compliant_eq_1_f1,C_perce_sat_f1,Before_After_f1,Good_bad_f1,date,Slag_Time_f2,Open_Time_f2,Close_Time_f2,Taphole_f2,Pipe_burn_hole_f2,Taphole_Length_f2,Clay_box_f2,Clay_Close_hole_ft3_f2,Clay_temp_f2,Drill_bit_size_f2,Drill_shafts_used_f2,Cast_Avg_Temp_f2,Cast_Avg_Si_f2,Cast_Avg_S_f2,Cast_Avg_Mn_f2,Cast_Avg_P_f2,Cast_Avg_Cu_f2,Cast_Avg_Ni_f2,Cast_Avg_Cr_f2,Cast_Avg_Mo_f2,Cast_Avg_Ti_f2,Slag_Fe_f2,Slag_SiO2_f2,Slag_Al2O3_f2,Slag_CaO_f2,Slag_MgO_f2,Slag_S_f2,Slag_K2O_f2,Slag_B_SiO2_f2,Slag_TiO2_f2
20,44409,2814,155,1.133999944,0.044,0.537999988,0.075000003,0.003,0.015,0.050999999,0.002,0.033,2756,,0.652777778,44409.65278,,4.809584016,B,0.0,8/1/2021 0:00,14:10,13:25,16:12,3,0,12.0,593,2.5,157,2.25,1,2703,1.080000043,0.057,0.507000029,0.075000003,0.003,0.016000001,0.050999999,0.002,0.032000002,0.050000001,38.06000137,7.130000114,37.09999847,10.39000034,1.210000038,0.300000012,1.25,0.360000014
21,44409,2815,182,0.875999987,0.043000001,0.497999996,0.075000003,0.003,0.02,0.052000001,0.002,0.026000001,2729,,0.704861111,44409.70486,1.0,4.850294002,B,0.0,8/1/2021 0:00,16:13,16:05,18:30,2,0,10.69999981,646,2.75999999,178,2.130000114,1,2742,0.994000018,0.044,0.528999984,0.079000004,0.003,0.017000001,0.054000001,0.002,0.030999999,0.150000006,38.52999878,7.099999905,38.20999908,10.67000008,1.149999976,0.270000011,1.269999981,0.379999995
22,44409,2815,158,0.921999991,0.050000001,0.504000008,0.075000003,0.003,0.015,0.052999999,0.002,0.027000001,2732,,0.726388889,44409.72639,1.0,4.838542002,B,0.0,8/1/2021 0:00,16:13,16:05,18:30,2,0,10.69999981,646,2.75999999,178,2.130000114,1,2742,0.994000018,0.044,0.528999984,0.079000004,0.003,0.017000001,0.054000001,0.002,0.030999999,0.150000006,38.52999878,7.099999905,38.20999908,10.67000008,1.149999976,0.270000011,1.269999981,0.379999995
23,44409,2815,140,1.184999943,0.037999999,0.583999991,0.086000003,0.003,0.015,0.056000002,0.002,0.039000001,2766,,0.764583333,44409.76458,,4.809252017,B,0.0,8/1/2021 0:00,16:13,16:05,18:30,2,0,10.69999981,646,2.75999999,178,2.130000114,1,2742,0.994000018,0.044,0.528999984,0.079000004,0.003,0.017000001,0.054000001,0.002,0.030999999,0.150000006,38.52999878,7.099999905,38.20999908,10.67000008,1.149999976,0.270000011,1.269999981,0.379999995
24,44409,2816,139,1.172000051,0.045000002,0.50999999,0.079999998,0.003,0.017999999,0.050999999,0.002,0.037999999,2711,,0.784722222,44409.78472,,4.730719984,B,0.0,8/1/2021 0:00,19:17,18:28,21:24,3,0,11.5,593,2.460000038,100,2.25,1,2727,1.031999946,0.041999999,0.518000007,0.077,0.003,0.016000001,0.050999999,0.002,0.033,0.050000001,37.15000153,6.849999905,36.90000153,10.23999977,1.230000019,0.300000012,1.269999981,0.330000013
25,44409,2816,162,1.039999962,0.035,0.541000009,0.077,0.003,0.02,0.052000001,0.002,0.034000002,2714,,0.816666667,44409.81667,,4.782638012,B,0.0,8/1/2021 0:00,19:17,18:28,21:24,3,0,11.5,593,2.460000038,100,2.25,1,2727,1.031999946,0.041999999,0.518000007,0.077,0.003,0.016000001,0.050999999,0.002,0.033,0.050000001,37.15000153,6.849999905,36.90000153,10.23999977,1.230000019,0.300000012,1.269999981,0.330000013
26,44409,2816,144,1.036000013,0.041000001,0.507000029,0.077,0.003,0.014,0.050000001,0.002,0.034000002,2720,,0.822916667,44409.82292,,4.788235996,B,0.0,8/1/2021 0:00,19:17,18:28,21:24,3,0,11.5,593,2.460000038,100,2.25,1,2727,1.031999946,0.041999999,0.518000007,0.077,0.003,0.016000001,0.050999999,0.002,0.033,0.050000001,37.15000153,6.849999905,36.90000153,10.23999977,1.230000019,0.300000012,1.269999981,0.330000013
27,44409,2816,142,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2749,,0.8625,44409.8625,,5.17813,B,1.0,8/1/2021 0:00,19:17,18:28,21:24,3,0,11.5,593,2.460000038,100,2.25,1,2727,1.031999946,0.041999999,0.518000007,0.077,0.003,0.016000001,0.050999999,0.002,0.033,0.050000001,37.15000153,6.849999905,36.90000153,10.23999977,1.230000019,0.300000012,1.269999981,0.330000013
28,44409,2816,145,0.880999982,0.048,0.513999999,0.072999999,0.003,0.014,0.050000001,0.002,0.027000001,2745,,0.877083333,44409.87708,1.0,4.870982006,B,0.0,8/1/2021 0:00,19:17,18:28,21:24,3,0,11.5,593,2.460000038,100,2.25,1,2727,1.031999946,0.041999999,0.518000007,0.077,0.003,0.016000001,0.050999999,0.002,0.033,0.050000001,37.15000153,6.849999905,36.90000153,10.23999977,1.230000019,0.300000012,1.269999981,0.330000013
29,44409,2817,171,0.816999972,0.064000003,0.463999987,0.071000002,0.003,0.015,0.050000001,0.002,0.023,2727,,0.913888889,44409.91389,1.0,4.857982006,B,0.0,8/1/2021 0:00,21:25,21:20,23:54,2,1,12.0,646,2.0,151,2.130000114,1,2744,0.833999991,0.057,0.48300001,0.071999997,0.003,0.017000001,0.048999999,0.002,0.025,0.090000004,38.08000183,7.019999981,37.83000183,10.81000042,1.149999976,0.360000014,1.279999971,0.400000006
30,44409,2817,182,0.842999995,0.048,0.488999993,0.071999997,0.003,0.017000001,0.048,0.002,0.027000001,2752,,0.949305556,44409.94931,1.0,4.892672002,B,0.0,8/1/2021 0:00,21:25,21:20,23:54,2,1,12.0,646,2.0,151,2.130000114,1,2744,0.833999991,0.057,0.48300001,0.071999997,0.003,0.017000001,0.048999999,0.002,0.025,0.090000004,38.08000183,7.019999981,37.83000183,10.81000042,1.149999976,0.360000014,1.279999971,0.400000006
31,44409,2817,146,0.921000004,0.046999998,0.499000013,0.074000001,0.003,0.021,0.048999999,0.002,0.028000001,2754,,0.960416667,44409.96042,1.0,4.871082,B,0.0,8/1/2021 0:00,21:25,21:20,23:54,2,1,12.0,646,2.0,151,2.130000114,1,2744,0.833999991,0.057,0.48300001,0.071999997,0.003,0.017000001,0.048999999,0.002,0.025,0.090000004,38.08000183,7.019999981,37.83000183,10.81000042,1.149999976,0.360000014,1.279999971,0.400000006
32,44409,2817,186,0.753000021,0.067000002,0.477999985,0.071999997,0.003,0.016000001,0.050000001,0.002,0.022,2746,,0.995833333,44409.99583,1.0,4.904953993,B,0.0,8/1/2021 0:00,21:25,21:20,23:54,2,1,12.0,646,2.0,151,2.130000114,1,2744,0.833999991,0.057,0.48300001,0.071999997,0.003,0.017000001,0.048999999,0.002,0.025,0.090000004,38.08000183,7.019999981,37.83000183,10.81000042,1.149999976,0.360000014,1.279999971,0.400000006
33,44409,2818,183,0.703000009,0.057,0.43599999,0.064999998,0.003,0.016000001,0.048999999,0.002,0.021,2666,,0.026388889,44409.02639,1.0,4.809937998,B,0.0,8/1/2021 0:00,00:23,23:51,01:23,3,0,10.60000038,593,2.470000029,240,2.25,1,2682,0.740999997,0.061000001,0.426999986,0.064999998,0.003,0.017000001,0.048,0.002,0.022,0.050000001,37.95999908,7.159999847,37.74000168,10.97999954,1.210000038,0.389999986,1.279999971,0.419999987
34,44409,2818,150,0.778999984,0.064000003,0.418000013,0.064999998,0.003,0.017999999,0.046999998,0.002,0.023,2699,,0.041666667,44409.04167,1.0,4.831904005,B,0.0,8/1/2021 0:00,00:23,23:51,01:23,3,0,10.60000038,593,2.470000029,240,2.25,1,2682,0.740999997,0.061000001,0.426999986,0.064999998,0.003,0.017000001,0.048,0.002,0.022,0.050000001,37.95999908,7.159999847,37.74000168,10.97999954,1.210000038,0.389999986,1.279999971,0.419999987
35,44410,2819,190,0.908999979,0.048,0.492000014,0.075000003,0.003,0.012,0.048999999,0.002,0.028000001,2730,,0.095833333,44410.09583,1.0,4.840466006,B,0.0,8/2/2021 0:00,01:32,01:22,04:02,2,0,11.5,646,2.019999981,162,2.130000114,1,2746,0.870999992,0.046999998,0.518000007,0.072999999,0.003,0.016000001,0.050999999,0.002,0.027000001,0.050000001,38.38999939,7.050000191,37.79999924,11.15999985,1.159999967,0.360000014,1.279999971,0.419999987
36,44410,2819,171,0.91900003,0.048,0.537999988,0.074000001,0.003,0.018999999,0.050999999,0.002,0.028000001,2762,,0.128472222,44410.12847,1.0,4.88524399,B,0.0,8/2/2021 0:00,01:32,01:22,04:02,2,0,11.5,646,2.019999981,162,2.130000114,1,2746,0.870999992,0.046999998,0.518000007,0.072999999,0.003,0.016000001,0.050999999,0.002,0.027000001,0.050000001,38.38999939,7.050000191,37.79999924,11.15999985,1.159999967,0.360000014,1.279999971,0.419999987
37,44410,2819,122,0.912,0.041999999,0.535000026,0.075000003,0.003,0.018999999,0.050999999,0.002,0.028000001,2759,,0.145833333,44410.14583,1.0,4.88426,B,0.0,8/2/2021 0:00,01:32,01:22,04:02,2,0,11.5,646,2.019999981,162,2.130000114,1,2746,0.870999992,0.046999998,0.518000007,0.072999999,0.003,0.016000001,0.050999999,0.002,0.027000001,0.050000001,38.38999939,7.050000191,37.79999924,11.15999985,1.159999967,0.360000014,1.279999971,0.419999987
38,44410,2819,154,0.742999971,0.050000001,0.507000029,0.068999998,0.003,0.012,0.050999999,0.002,0.022,2735,,0.168055556,44410.16806,1.0,4.90123601,B,0.0,8/2/2021 0:00,01:32,01:22,04:02,2,0,11.5,646,2.019999981,162,2.130000114,1,2746,0.870999992,0.046999998,0.518000007,0.072999999,0.003,0.016000001,0.050999999,0.002,0.027000001,0.050000001,38.38999939,7.050000191,37.79999924,11.15999985,1.159999967,0.360000014,1.279999971,0.419999987
39,44410,2820,142,0.661000013,0.075000003,0.40200001,0.064000003,0.003,0.02,0.048999999,0.002,0.017000001,2593,,0.195138889,44410.19514,1.0,4.712335994,B,0.0,8/2/2021 0:00,04:23,03:59,05:56,3,0,10.30000019,593,3.00999999,186,2.25,1,2663,0.782000005,0.057999998,0.458000004,0.07,0.003,0.017000001,0.050999999,0.002,0.023,0.050000001,37.90000153,7.110000134,37.63000107,10.96000004,1.200000048,0.389999986,1.279999971,0.419999987
