,SI_f1,Date_Map,HOST_BLAST_MOISTURE_f3,HOT_BLAST_TMP_NS_f3,NAT_GAS _INJECTION_f3,WINDRATE_f3,HIGH_PURITY_OXYGEN_f3,COAL_FLOW_f3,cokerate_f4,Cast_Avg_Mn_f2,Slag_Fe_f2,date_f1,CNUM,LNUM_f1,Selec_Top_Gas_CO_f3,Selec_Top_Gas_CO2_f3,Selec_Top_Gas_H2_f3,Selec_Top_Gas_N2_f3,NE_Uptake_f3,SE_Uptake_f3,NW_Uptake_f3,SW_Uptake_f3,Slag_SiO2_f2,Slag_CaO_f2,Slag_MgO_f2,SNORT_VALVE_POSITION_f3,TOP_PRESS_f3,HOT_BLAST_PRESSURE_f3,Taphole_f2,HOT_METAL_TEMP_f3
997,0.891628301141593,2021-11-01 17:34:00,3.0978443018849555,2162.966586044248,10604.666370884956,200.75668869823008,2.6012020145132744,0.0,998.0,0.41400000499999995,0.319999993,44501.0,3802.0,134.07079646017698,21.668729098230088,17.84926022477876,5.317596717433629,54.17406072486725,166.28303747256635,217.9780952345133,158.71640241858407,203.85083127522125,39.61999893,38.06999969,10.619999889999999,98.33429718,20.4684773359292,40.2009338279646,2.0,2717.001953
998,0.8582857061142857,2021-11-01 18:25:00,3.097567908866667,2162.0484157142855,10893.370958,200.87129579999998,2.6002386133142856,0.0,998.0,0.437999994,0.180000007,44501.0,3803.0,149.74285714285713,21.847662740285713,17.25216623095238,5.493364688304762,54.48379231685715,182.24329577619048,243.99963571238095,167.0416233904762,243.20720045428573,40.02000046,37.24000168,10.46000004,98.33429718,20.485530914380952,40.345599916285714,3.0,2717.001953
999,0.8439816663394496,2021-11-01 20:34:00,3.0952768521559637,2162.106523688073,10571.891487522935,200.53032482110092,2.597989828247706,0.0,998.0,0.402999997,0.090000004,44501.0,3804.0,158.32110091743118,22.013375797064217,17.516875355779817,5.362259177091743,54.31097055522936,177.27280571284405,246.45078288073393,166.4541298559633,242.32542028348624,37.25999832,36.79000092,9.920000076,98.33429718,20.471173969357796,39.928436541100915,2.0,2714.008157412844
1000,1.0841022182773723,2021-11-01 22:36:00,3.092643207540146,2164.047658569343,10767.352830072992,200.63655223138687,2.6010796353065695,0.0,1106.3211678832117,0.425999999,0.280000001,44501.0,3805.0,168.13138686131387,21.576341989416058,17.546892197372262,5.350583726452554,54.54513773423358,187.81406644817517,254.95715050218976,169.8739828467153,255.54304064306567,37.40000153,37.38000107,9.880000114,98.33429718,20.466733426131388,39.81607530313869,3.0,2709.036621
1001,0.8251415264285714,2021-11-01 00:35:00,3.091144385333333,2167.5795333333335,10588.508113333335,199.7483937333333,2.6030468780000002,0.0,1263.0,0.398999989,0.150000006,44501.0,3806.0,171.33333333333334,22.03648208,17.244832873333333,5.3239059719999995,54.354966786666665,312.85337423333334,326.1732363666667,216.54430063333334,337.3375410666667,37.31000137,37.88000107,10.13000011,98.33429717999998,20.223148203333334,38.99025434666667,2.0,2709.036621
1002,1.16900003,2021-11-02 05:00:00,2.9835806315384614,2167.1312888653847,8682.570632711539,200.54437427692307,2.6004077912692307,0.0,1105.0,0.456999987,0.17000000200000004,44502.0,3808.0,146.0,24.08662472326923,15.71397021173077,4.726414910961538,54.516367996346155,175.15054333653845,208.11508906923078,165.2094506346154,215.21143233653845,39.81999969,38.00999832,10.59000015,98.33429718,20.505141236346155,39.48123534230769,2.0,2748.9476487499996
1003,2.303693547633064,2021-11-04 19:45:00,8.122159825431451,1920.1232849717742,5401.54673260652,162.36054260443547,3.7769563748991937,0.0,1105.0,0.442999989,0.100000001,44504.0,3810.0,170.82258064516128,23.457263417741935,15.733014280645161,4.4805831053145155,55.483842305362906,167.54652065241936,183.86021041129032,159.99386526774194,191.63755492661292,36.25,36.97000122,9.600000381,96.08666275576613,15.04756617803629,31.423637032258064,2.0,2657.9385946491934
1004,2.2080345397241383,2021-11-04 22:50:00,7.369290036327586,1994.2296660086208,4771.863631948276,173.14100533017242,4.452735028327586,0.0,1016.3793103448276,0.421999991,0.219999999,44504.0,3811.0,171.3793103448276,23.470975307931035,18.23742860025862,2.996260620810345,54.32776719336207,152.89070021810343,175.0778267551724,150.44651643103447,171.239674625,35.91999817,37.04000092,9.569999695,98.33429718,16.47411056784483,34.15202893862069,1.0,2544.571817801724
1005,1.9353267437079207,2021-11-05 00:40:00,14.132167860792078,2000.2981973366336,734.3087048827623,180.19171250792078,4.434460639861387,0.0,948.7227722772277,0.437000006,0.01,44505.0,3812.0,140.990099009901,24.36193594148515,18.616378647623762,2.4357701825544553,53.68617066574258,173.07382989405943,181.17243526138617,205.3915532930693,182.96437632970296,35.63000107,36.83000183,9.760000229,98.33429718,17.64703526930693,37.486174263465344,2.0,2660.9605765445544
1006,1.8707582505934066,2021-11-05 02:25:00,14.996755060989011,2000.1857024945054,5.267363475604395,180.4583525098901,2.2992724706263736,0.0,946.0,0.43599998999999995,0.07,44505.0,3813.0,170.03296703296704,23.563244074725276,18.84354785263736,1.900531654076923,54.84744175472528,230.74990736043958,204.29388661208793,225.49636784175823,223.74721144505494,34.43000031,35.81999969,9.039999962,98.33429718,17.66275625912088,37.828071200989015,1.0,2702.8127816043957
